sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,KALIMANTAN TIMUR,BERAU,2019,MINERAL,SMALLHOLDER,7.85,2.85,13850,input,pupuk,Urea,Rp/kg,1800,1800,kg/ha,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,pupuk,SP ,Rp/kg,2000,2000,kg/ha,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,pupuk,Round Up,Rp/liter,80000,80000,liter/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,pupuk,Formic acid,Rp/botol,6000,6000,botol,,,,,,16.48463591,16.48463591,16.48463591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,bahan tanam /bibit,Padi/Gabah,Rp/kg,4000,4000,Kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan tanam /bibit,Karet,Rp/btng,2500,2500,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Pisau sadap,Rp/unit,20000,20000,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,peralatan,Mangkok penampung (latex cup),Rp/unit,500,500,unit,,,,,,,,,200,350,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,50000,50000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
